0,480,32,32
32,480,32,32
64,480,32,32
96,480,32,32
128,480,32,32
160,480,32,32
192,480,32,32
224,480,32,32
256,480,32,32
288,480,32,32
320,480,32,32
352,480,32,32
384,480,32,32
416,480,32,32
448,480,32,32
480,480,32,32
512,480,32,32
544,480,32,32
576,480,32,32
608,480,32,32
640,480,32,32
672,480,32,32
704,480,32,32
736,480,32,32
768,480,32,32
800,480,32,32
832,480,32,32
864,480,32,32
896,480,32,32
928,480,32,32
960,480,32,32
992,480,32,32
1024,480,32,32
1056,480,32,32
1088,480,32,32
1120,480,32,32
1152,480,32,32
1184,480,32,32
1216,480,32,32
1248,480,32,32
1280,480,32,32
1312,480,32,32
1344,480,32,32
1376,480,32,32
1408,480,32,32
1440,480,32,32
1472,480,32,32
1504,480,32,32
1536,480,32,32
1568,480,32,32
1600,480,32,32
1632,480,32,32
1664,480,32,32
1696,480,32,32
1728,480,32,32
1760,480,32,32
1792,480,32,32
1824,480,32,32
1856,480,32,32
1888,480,32,32
1920,480,32,32
1952,480,32,32
1984,480,32,32
2016,480,32,32
2048,480,32,32
2080,480,32,32
2112,480,32,32
2144,480,32,32
2176,480,32,32
2208,480,32,32
2240,480,32,32
2272,480,32,32
2304,480,32,32
2336,480,32,32
2368,480,32,32
2400,480,32,32
2432,480,32,32
2464,480,32,32
2496,480,32,32
2528,480,32,32
2560,480,32,32
2592,480,32,32
2624,480,32,32
2656,480,32,32
2688,480,32,32
2720,480,32,32
2752,480,32,32
2784,480,32,32
2816,480,32,32
2848,480,32,32
2880,480,32,32
2912,480,32,32
2944,480,32,32
2976,480,32,32
3008,480,32,32
3040,480,32,32
3072,480,32,32
3104,480,32,32
3136,480,32,32
3168,480,32,32
3200,480,32,32
3232,480,32,32
3264,480,32,32
3296,480,32,32
3328,480,32,32
3360,480,32,32
3392,480,32,32
3424,480,32,32
3456,480,32,32
3488,480,32,32
3520,480,32,32
3552,480,32,32
3584,480,32,32
3616,480,32,32
3648,480,32,32
3680,480,32,32
3712,480,32,32
3744,480,32,32
3776,480,32,32
3808,480,32,32
3840,480,32,32
3872,480,32,32
3904,480,32,32
3936,480,32,32
3968,480,32,32
4000,480,32,32
4032,480,32,32
4064,480,32,32
4096,480,32,32
4128,480,32,32
4160,480,32,32
4192,480,32,32
4224,480,32,32
4256,480,32,32
4288,480,32,32
4320,480,32,32
4352,480,32,32
4384,480,32,32
4416,480,32,32
4448,480,32,32
4480,480,32,32
4512,480,32,32
4544,480,32,32
4576,480,32,32
4608,480,32,32
4640,480,32,32
4672,480,32,32
4704,480,32,32
4736,480,32,32
4768,480,32,32
4800,480,32,32
4832,480,32,32
4864,480,32,32
4896,480,32,32
4928,480,32,32
4960,480,32,32
4992,480,32,32
5024,480,32,32
5056,480,32,32
5088,480,32,32
5120,480,32,32
5152,480,32,32
5184,480,32,32
5216,480,32,32
5248,480,32,32
5280,480,32,32
5312,480,32,32
5344,480,32,32
5376,480,32,32
5408,480,32,32
5440,480,32,32
5472,480,32,32
5504,480,32,32
5536,480,32,32
5568,480,32,32
5600,480,32,32
5632,480,32,32
5664,480,32,32
5696,480,32,32
5728,480,32,32
5760,480,32,32
5792,480,32,32
